height, node1-size, node2-size
371, 9092, 5772
373, 9152, 5808
374, 9188, 5872
375, 9212, 5892
376, 9240, 5924
377, 9276, 5952
378, 9296, 5980
379, 9332, 6016
380, 9360, 6108
382, 9416, 6140
383, 9444, 6164
384, 9480, 6196
385, 9508, 6256
386, 9540, 6284
387, 9568, 6312
388, 9600, 6340
389, 9624, 6368
390, 9660, 6468
392, 9716, 6496
393, 9748, 6552
394, 9776, 6580
395, 9804, 6584
396, 9836, 6640
398, 9896, 6680
399, 9920, 6732
400, 9952, 6820
401, 9984, 6860
402, 10016, 6884
403, 10040, 6912
405, 10100, 6940
406, 10124, 6972
407, 10160, 7032
408, 10188, 7060
409, 10220, 7092
410, 10244, 7176
411, 10276, 7212
412, 10308, 7240
413, 10332, 7272
414, 10364, 7296
415, 10392, 7324
417, 10448, 7352
418, 10480, 7416
419, 10512, 7444
420, 10540, 7532
422, 10596, 7560
423, 10632, 7596
424, 10660, 7628
425, 10688, 7656
426, 10716, 7716
427, 10744, 7716
428, 10772, 7772
429, 10808, 7800
430, 10836, 7892
432, 10888, 7920
433, 10924, 7972
434, 10952, 8008
435, 10980, 8016
436, 11012, 8068
437, 11036, 8096
438, 11068, 8124
439, 11096, 8156
441, 11156, 8252
442, 11188, 8276
443, 11216, 8336
444, 11244, 8340
445, 11276, 8396
446, 11308, 8424
447, 11336, 8456
448, 11364, 8476
449, 11392, 8512
450, 11424, 8600
452, 11484, 8632
453, 11512, 8664
454, 11544, 8720
455, 11568, 8748
456, 9788, 8780
457, 9820, 8812
458, 9848, 8836
459, 9880, 8868
460, 9908, 8960
461, 9936, 8984
463, 9716, 9024
464, 9748, 9080
465, 9772, 9108
466, 9804, 9132
467, 9836, 9136
468, 9860, 9192
470, 9916, 9228
471, 9952, 9344
472, 9976, 9372
474, 10040, 9404
475, 10068, 9436
476, 10088, 9456
477, 10124, 9516
478, 10160, 9556
479, 10184, 9580
480, 10216, 9580
481, 10248, 9700
482, 10272, 9732
484, 10336, 9760
485, 10360, 9796
486, 10392, 9848
487, 10416, 9876
488, 10452, 9908
489, 10476, 9936
490, 10512, 10028
491, 10548, 10060
493, 10596, 10092
494, 10632, 10116
495, 10660, 10152
496, 10688, 10176
497, 10720, 10232
498, 10748, 10264
499, 10784, 10300
500, 10808, 8252
501, 10840, 8280
503, 10900, 8312
504, 10924, 8340
505, 10960, 9188
506, 10988, 6872
507, 11016, 6900
509, 11080, 6932
510, 11100, 6960
511, 11140, 7084
512, 11164, 7084
513, 11200, 7108
514, 11224, 7168
515, 11256, 7204
516, 11292, 7232
517, 11312, 7268
519, 11368, 7288
520, 11408, 7324
521, 11428, 7440
522, 11464, 7472
523, 11492, 7472
524, 11524, 7508
525, 11548, 7564
526, 11584, 7596
527, 11612, 7628
528, 11648, 7652
530, 11704, 7680
531, 11732, 7804
532, 11760, 7832
533, 11788, 7860
534, 11816, 7896
535, 11844, 7916
536, 11872, 7920
538, 11936, 7984
539, 11968, 8016
540, 11992, 8140
541, 12028, 8164
542, 12052, 8196
543, 12088, 8228
544, 12112, 8256
545, 12144, 8284
546, 12168, 8312
548, 12232, 8344
549, 12264, 8376
550, 12292, 8404
551, 12324, 8496
552, 12352, 8528
553, 12380, 8584
554, 12412, 8620
555, 12440, 8644
556, 12468, 8676
558, 12528, 8700
559, 12560, 8768
560, 12592, 8856
562, 12652, 8884
563, 12672, 8944
565, 12740, 8976
566, 12772, 9032
567, 12796, 9036
568, 12828, 9064
570, 12892, 9132
572, 12948, 9276
573, 12980, 9280
574, 13000, 9332
576, 13064, 9400
577, 13100, 9432
578, 13124, 9456
580, 13180, 9492
581, 13224, 9616
582, 13248, 9644
583, 13280, 9672
585, 13340, 9704
586, 13368, 9768
587, 13400, 9796
588, 13428, 9828
590, 13484, 9852
591, 13520, 9984
592, 13548, 10008
594, 13608, 10040
595, 13632, 10096
596, 13668, 10132
598, 13728, 10160
599, 13752, 10216
600, 13784, 10312
601, 13812, 10336
603, 13872, 10376
604, 13904, 10432
605, 13932, 10460
606, 13960, 10488
608, 14024, 10524
609, 14056, 10580
610, 14080, 10672
611, 14112, 10700
612, 14140, 10732
613, 14172, 10732
614, 14196, 10788
615, 14232, 10824
617, 14288, 10848
618, 14320, 10880
619, 14352, 10912
620, 14380, 11040
621, 14408, 11064
622, 14440, 11096
623, 14472, 11128
624, 14500, 11156
626, 14560, 11216
627, 14588, 11248
628, 14616, 11272
629, 14648, 11308
631, 14700, 11428
