height, node1-size, node2-size
1, 268, 272
2, 292, 296
3, 328, 332
5, 384, 356
6, 404, 408
7, 444, 440
8, 472, 472
9, 508, 500
11, 564, 532
12, 584, 564
13, 608, 584
14, 644, 616
15, 664, 672
16, 696, 700
17, 720, 728
18, 752, 752
19, 776, 780
20, 808, 808
21, 836, 836
22, 864, 864
23, 888, 892
24, 920, 920
25, 944, 944
27, 1000, 976
28, 1032, 1032
29, 1056, 1052
31, 1112, 1088
32, 1132, 1112
33, 1164, 1164
34, 1192, 1196
35, 1220, 1216
36, 1248, 1252
38, 1300, 1276
40, 1356, 1360
41, 1388, 1384
42, 1412, 1416
43, 1444, 1440
44, 1468, 1464
46, 1520, 1492
47, 1548, 1516
48, 1580, 1568
49, 1604, 1604
50, 1636, 1632
51, 1656, 1656
52, 1688, 1680
53, 1716, 1716
55, 1768, 1740
56, 1800, 1768
57, 1824, 1816
58, 1852, 1844
59, 1880, 1876
60, 1912, 1904
61, 1936, 1932
62, 1968, 1952
63, 1992, 1988
64, 2024, 2012
65, 2048, 2012
66, 2072, 2068
67, 2104, 2096
68, 2124, 2120
69, 2156, 2144
70, 2184, 2180
71, 2212, 2200
72, 2236, 2228
73, 2268, 2256
74, 2292, 2256
75, 2328, 2288
76, 2352, 2312
77, 2384, 2348
78, 2408, 2400
79, 2432, 2424
81, 2492, 2484
82, 2520, 2512
83, 2544, 2540
84, 2576, 2568
85, 2600, 2592
86, 2632, 2624
87, 2656, 2648
89, 2696, 2684
90, 2724, 2704
91, 2772, 2764
92, 2804, 2788
93, 2824, 2816
94, 2852, 2816
95, 2880, 2840
96, 2900, 2892
97, 2936, 2924
98, 2960, 2952
100, 3016, 2976
101, 3048, 3008
102, 3080, 3036
103, 3108, 3072
104, 3128, 3096
105, 3168, 3156
106, 3188, 3176
107, 3224, 3212
108, 3256, 3240
109, 3284, 3272
110, 3312, 3296
112, 3368, 3328
113, 3388, 3356
114, 3424, 3384
115, 3428, 3416
116, 3484, 3472
117, 3516, 3504
119, 3572, 3564
120, 3600, 3588
122, 3660, 3620
123, 3680, 3648
124, 3720, 3708
126, 3780, 3768
127, 3800, 3768
128, 3836, 3792
129, 3860, 3852
130, 3888, 3880
131, 3920, 3912
132, 3944, 3940
133, 3980, 3972
134, 4000, 3996
135, 4036, 4024
136, 4064, 4060
137, 4096, 4084
138, 4120, 4120
139, 4156, 4144
140, 4180, 4180
141, 4216, 4204
142, 4240, 4236
143, 4276, 4268
144, 4300, 4292
145, 4332, 4324
146, 4360, 4356
147, 4396, 4384
148, 4420, 4416
149, 4448, 4440
150, 4480, 4476
151, 4504, 4500
152, 4540, 4536
153, 4568, 4564
154, 4596, 4592
155, 4624, 4620
157, 4684, 4652
158, 4716, 4684
159, 4744, 4708
160, 4772, 4748
161, 4800, 4780
162, 4836, 4828
164, 4896, 4868
165, 4924, 4896
166, 4952, 4952
167, 4984, 4988
168, 5016, 5020
170, 5072, 5044
171, 5104, 5108
173, 5160, 5132
174, 5192, 5164
175, 5228, 5200
176, 5252, 5236
177, 5288, 5292
178, 5312, 5320
179, 5348, 5356
180, 5376, 5384
181, 5408, 5412
182, 5432, 5440
183, 5460, 5468
184, 5496, 5504
185, 5528, 5532
186, 5552, 5564
187, 5588, 5592
188, 5612, 5624
190, 5672, 5684
191, 5700, 5712
192, 5736, 5748
193, 5756, 5768
194, 5792, 5804
195, 5816, 5832
197, 5876, 5868
198, 5908, 5896
199, 5916, 5924
201, 6000, 5984
202, 6032, 6020
203, 6056, 6048
205, 6116, 6108
206, 6148, 6136
207, 6176, 6172
208, 6208, 6200
209, 6240, 6228
210, 6260, 6284
211, 6296, 6320
212, 6320, 6320
213, 6356, 6380
214, 6384, 6408
215, 6416, 6444
216, 6444, 6472
218, 6504, 6532
219, 6540, 6564
220, 6560, 6568
221, 6596, 6624
222, 6620, 6656
223, 6652, 6684
224, 6688, 6712
225, 6712, 6748
226, 6744, 6776
228, 6800, 4936
229, 6836, 5000
230, 6864, 5036
231, 5040, 5064
232, 5076, 5092
233, 5104, 5128
235, 5160, 5152
236, 5196, 5188
237, 5232, 5244
238, 5256, 5276
240, 5324, 5344
241, 5344, 5368
242, 5376, 5376
243, 5404, 5432
244, 5432, 5460
246, 5496, 5492
247, 5528, 5556
248, 5556, 5588
249, 5584, 5616
251, 5640, 5648
252, 5672, 5672
253, 5704, 5712
254, 5732, 5744
255, 5764, 5800
256, 5788, 5832
257, 5828, 5868
258, 5848, 5896
259, 5884, 5924
260, 5912, 5960
262, 5964, 5984
263, 6004, 6020
264, 6036, 6052
265, 6060, 6112
266, 6092, 6144
267, 6124, 6148
268, 6152, 6208
269, 6184, 6240
270, 6212, 6276
271, 6244, 6304
272, 6272, 6332
273, 6300, 6364
275, 6360, 6400
276, 6392, 6428
277, 6420, 6488
278, 6456, 6524
279, 6480, 6552
280, 6516, 6584
281, 6544, 6616
282, 6568, 6640
284, 6632, 6676
285, 6660, 6708
286, 6692, 6768
287, 6724, 6804
288, 6752, 6832
289, 6780, 6860
291, 6844, 6892
292, 6872, 6956
293, 6900, 6988
294, 6932, 7020
296, 6988, 7052
297, 7024, 7116
298, 7052, 7148
299, 7080, 7176
