height, node1-size, node2-size
1, 268, 224
2, 292, 296
3, 324, 328
4, 352, 352
5, 384, 352
6, 404, 408
7, 444, 440
8, 444, 440
9, 508, 472
10, 532, 532
11, 564, 560
12, 584, 584
13, 608, 584
14, 644, 640
15, 664, 640
16, 696, 696
17, 720, 696
18, 752, 724
19, 776, 752
20, 808, 812
21, 836, 836
22, 864, 840
23, 888, 864
24, 920, 892
25, 944, 920
26, 976, 948
27, 1000, 976
28, 1032, 1004
29, 1052, 1032
30, 1080, 1088
31, 1112, 1088
32, 1132, 1116
33, 1164, 1144
34, 1192, 1172
35, 1220, 1220
36, 1248, 1252
37, 1280, 1284
38, 1300, 1308
39, 1332, 1336
40, 1356, 1364
41, 1388, 1388
42, 1412, 1388
43, 1444, 1420
44, 1468, 1448
45, 1496, 1496
46, 1520, 1528
47, 1552, 1560
48, 1580, 1584
49, 1608, 1612
50, 1636, 1640
51, 1660, 1664
52, 1688, 1664
53, 1716, 1728
54, 1748, 1752
55, 1768, 1780
56, 1800, 1804
57, 1824, 1804
58, 1852, 1856
59, 1880, 1892
60, 1912, 1920
61, 1936, 1944
62, 1968, 1944
63, 1992, 2000
64, 2024, 2028
65, 2048, 2060
66, 2076, 2060
67, 2104, 2088
68, 2124, 2112
69, 2156, 2140
70, 2188, 2200
71, 2220, 2200
72, 2240, 2228
73, 2272, 2252
74, 2296, 2288
75, 2328, 2336
76, 2352, 2368
77, 2384, 2392
78, 2404, 2392
79, 2432, 2420
80, 2460, 2448
81, 2492, 2504
82, 2516, 2532
83, 2548, 2536
84, 2576, 2568
85, 2600, 2612
86, 2632, 2648
87, 2656, 2676
88, 2688, 2676
89, 2708, 2728
90, 2740, 2764
91, 2764, 2788
92, 2800, 2816
93, 2824, 2844
94, 2856, 2872
95, 2880, 2872
96, 2908, 2904
97, 2936, 2928
98, 2964, 2992
99, 2988, 3012
100, 3020, 3516
101, 3048, 3544
102, 3068, 3544
103, 3108, 3604
104, 3132, 3628
105, 3164, 3664
106, 3188, 3684
107, 3216, 3684
108, 3248, 3720
109, 3280, 3772
110, 3308, 3804
111, 3340, 3832
112, 3364, 3864
113, 3396, 3888
114, 3424, 3920
115, 3460, 3920
116, 3480, 3972
117, 3508, 4008
118, 3540, 4032
119, 3568, 4032
120, 3600, 4092
121, 3624, 4124
122, 3656, 4152
123, 3680, 4180
124, 3712, 4208
125, 3744, 4244
126, 3772, 4244
127, 3800, 4268
128, 3832, 4300
129, 3856, 4356
130, 3888, 4356
131, 3916, 4412
132, 3952, 4444
133, 3972, 4464
134, 4004, 4464
135, 4032, 4524
136, 4060, 4560
137, 4092, 4560
138, 4120, 4616
139, 4152, 4644
140, 4172, 4672
141, 4208, 4700
142, 4236, 4736
143, 4272, 4736
144, 4292, 4764
145, 4324, 4820
146, 4352, 4852
147, 4380, 4876
148, 4408, 4876
149, 4444, 4912
150, 4468, 4940
151, 4500, 4980
152, 4528, 5028
153, 4564, 5060
154, 4588, 5060
155, 4616, 5112
156, 4648, 5116
157, 4668, 5172
158, 4704, 5204
159, 4732, 5232
160, 4768, 5268
161, 4788, 5292
162, 4824, 5328
163, 4848, 5352
164, 4884, 5384
165, 4908, 5384
166, 4944, 5448
167, 4968, 5476
168, 5000, 5500
169, 5024, 5508
170, 5064, 5540
171, 5084, 5596
172, 5120, 5596
173, 5144, 5620
174, 5176, 5676
175, 5200, 5712
176, 5236, 5712
177, 5264, 5776
178, 5288, 5800
179, 5320, 5832
180, 5348, 5860
181, 5380, 5860
182, 5408, 5892
183, 5440, 5920
184, 5468, 5952
185, 5496, 6008
186, 5524, 6036
187, 5560, 6076
188, 5584, 6076
189, 5616, 6100
190, 5644, 6132
191, 5676, 6164
192, 5704, 6192
193, 5732, 6256
194, 5764, 6284
195, 5788, 6312
196, 5816, 6312
197, 5848, 6344
198, 5880, 6376
199, 5904, 6408
200, 5940, 6444
201, 5964, 5008
202, 5992, 5036
203, 6024, 5064
204, 6056, 5128
205, 6084, 5152
206, 6112, 5156
207, 6140, 5192
208, 6176, 5212
209, 6200, 5272
210, 6228, 5304
211, 6260, 5328
212, 6288, 5364
213, 6316, 5384
214, 6340, 5384
215, 6380, 5424
216, 6404, 5480
217, 6436, 5504
218, 6464, 5536
219, 6500, 5568
220, 6520, 5596
221, 6552, 5624
222, 6576, 5624
223, 6608, 5656
224, 6636, 5712
225, 6672, 5712
226, 6696, 5772
227, 6728, 5772
228, 6756, 5832
229, 6784, 5860
230, 6792, 5860
231, 6836, 5888
232, 6876, 5924
233, 5040, 5952
234, 5072, 5980
235, 5100, 6040
236, 5136, 6044
237, 5164, 6096
238, 5196, 6100
239, 5224, 6124
240, 5252, 6156
241, 5276, 6212
242, 5316, 6248
243, 5340, 6276
244, 5372, 6300
245, 5396, 6332
246, 5432, 6332
247, 5456, 6360
248, 5488, 6420
249, 5516, 6452
250, 5540, 6476
251, 5572, 6476
252, 5600, 6536
253, 5636, 6572
254, 5660, 6600
255, 5692, 6628
256, 5720, 6656
257, 5748, 6664
258, 5776, 6716
259, 5812, 6720
260, 5836, 6752
261, 5868, 6776
262, 5892, 6804
263, 5928, 6832
264, 5952, 6860
265, 5988, 6896
266, 6012, 6920
267, 6048, 6968
268, 6072, 6984
269, 6100, 7012
270, 6136, 7076
271, 6160, 7100
272, 6192, 7104
