height, node1-size, node2-size
359, 8764, 8720
360, 8796, 8748
362, 8852, 8776
363, 8880, 8836
364, 8912, 8864
365, 8944, 8896
366, 8972, 8924
367, 9000, 8952
368, 9024, 8980
369, 9060, 9008
370, 9088, 9044
371, 9116, 9068
373, 9176, 9104
374, 9200, 9160
375, 9236, 9188
376, 9264, 9220
377, 9292, 9244
378, 9324, 9276
379, 9352, 9304
380, 9384, 9336
381, 9412, 9364
382, 9444, 9396
383, 9472, 9420
384, 9500, 9452
386, 9560, 9476
387, 9588, 9544
388, 9620, 9564
389, 9644, 9600
390, 9676, 9624
391, 9704, 9656
392, 9740, 9684
393, 9768, 9720
394, 9796, 9744
395, 9824, 9776
396, 9852, 9800
397, 9884, 9832
399, 9940, 9860
400, 9972, 9892
401, 10000, 9920
403, 10044, 9976
404, 10092, 10012
405, 10116, 10064
406, 10148, 10096
407, 10176, 10124
408, 10200, 10124
409, 10236, 10184
410, 10264, 10216
411, 10292, 10244
412, 10320, 10272
413, 10352, 10304
414, 10384, 10336
415, 10408, 10360
416, 10440, 10392
417, 10472, 10420
419, 10524, 10476
420, 10560, 10504
421, 10588, 10540
422, 10616, 10560
423, 10644, 10596
424, 10676, 10620
425, 10704, 10656
426, 10736, 10680
427, 10760, 10708
428, 10796, 10740
430, 10848, 10764
431, 10880, 10828
432, 10904, 10852
433, 10936, 10880
434, 10964, 10912
435, 10996, 10940
436, 11020, 10968
437, 11056, 11000
438, 11084, 11032
439, 11112, 11056
440, 11140, 11056
442, 11196, 11116
443, 11232, 11172
444, 11260, 11208
445, 11292, 11236
446, 11312, 11240
447, 11352, 11292
448, 11376, 11328
449, 11412, 11352
450, 11432, 11384
452, 11492, 11444
453, 11524, 11468
454, 11552, 11500
455, 9768, 11528
456, 9796, 9748
457, 9824, 9776
458, 9852, 9800
459, 9896, 9836
460, 9896, 9840
461, 12012, 9868
462, 9692, 9640
463, 9716, 9672
464, 9752, 9696
465, 9780, 9736
466, 9812, 9760
467, 9836, 9788
468, 9868, 9816
469, 9900, 9852
470, 9932, 9884
471, 9956, 9912
473, 10016, 9936
474, 10052, 9972
475, 10076, 10032
476, 10112, 10060
477, 10136, 10088
478, 10164, 10116
479, 10192, 10144
480, 10224, 10180
481, 10252, 10204
483, 10312, 10232
484, 10340, 10292
485, 10372, 10320
486, 10400, 10352
487, 10436, 10384
488, 10456, 10408
489, 10492, 10436
490, 10516, 10468
491, 10552, 10492
493, 10612, 10528
494, 10636, 10584
495, 10668, 10608
496, 10692, 10640
497, 10732, 10676
498, 10752, 10700
499, 10780, 10728
500, 10812, 10760
502, 10876, 10792
503, 10900, 10848
504, 10936, 10880
505, 10956, 10904
506, 10996, 10936
508, 11056, 10964
509, 11076, 11024
510, 11112, 11056
511, 11136, 11084
512, 11168, 11116
513, 11200, 11144
514, 11232, 11176
515, 11256, 11200
516, 11288, 11232
518, 11348, 11260
519, 11376, 11316
520, 11400, 11352
521, 11436, 11376
522, 11456, 11408
524, 11520, 11468
525, 11556, 11496
526, 11580, 11524
527, 11612, 11556
528, 11644, 11580
530, 11700, 11612
531, 11732, 11676
532, 11760, 11700
533, 11788, 11732
534, 11816, 11756
535, 11852, 11796
536, 11876, 11816
538, 11912, 11848
539, 11960, 11904
540, 11992, 11932
541, 12024, 11968
542, 12056, 11996
543, 12080, 12024
544, 12112, 12052
545, 12140, 12084
546, 12172, 12108
547, 12200, 12144
548, 12236, 12172
550, 12288, 12204
551, 12316, 12228
552, 12356, 12292
553, 12376, 12320
554, 12412, 12348
555, 12436, 12376
556, 12472, 12404
557, 12496, 12432
558, 12528, 12464
559, 12560, 12496
560, 12580, 12520
562, 12644, 12584
563, 12680, 12616
564, 12704, 12644
565, 12740, 12672
566, 12768, 12704
567, 12796, 12728
568, 12824, 12760
569, 12860, 12792
570, 12888, 12824
572, 12940, 12848
573, 12980, 12880
574, 13004, 12940
575, 13040, 12968
576, 13068, 13004
577, 13096, 13028
578, 13124, 13060
579, 13148, 13084
580, 13188, 13120
581, 13216, 13148
583, 13268, 13176
584, 13304, 13208
585, 13328, 13260
586, 13368, 13296
587, 13392, 13324
588, 13428, 13356
589, 13448, 13380
590, 13484, 13408
591, 13512, 13444
592, 13544, 13468
594, 13604, 13500
595, 13628, 13532
596, 13660, 13584
597, 13692, 13616
598, 13716, 13648
599, 13748, 13672
600, 13772, 13704
601, 13808, 13732
602, 13836, 13764
603, 13868, 13792
605, 13912, 13820
606, 13948, 13852
607, 13984, 13908
608, 14012, 13940
610, 14068, 13972
612, 14132, 14028
613, 14164, 14088
614, 14192, 14112
615, 14224, 14148
616, 14252, 14172
617, 14280, 14200
618, 14308, 14232
619, 14340, 14264
621, 14396, 14292
622, 14428, 14352
624, 14484, 14376
625, 14516, 14408
626, 14548, 14472
628, 14608, 14492
629, 14632, 14556
630, 14672, 14588
631, 14692, 14612
632, 14728, 14644
633, 14752, 14676
635, 14808, 14732
636, 14848, 14764
637, 14872, 14792
639, 14924, 14820
640, 14956, 14848
641, 14992, 14880
642, 15016, 14936
643, 15048, 14968
644, 15076, 14996
645, 15108, 15024
646, 15132, 15052
648, 15196, 15088
649, 15228, 15124
650, 15252, 15176
651, 15288, 15200
652, 15316, 15236
653, 15348, 15260
654, 15376, 15296
655, 15408, 15324
656, 15432, 15352
657, 15464, 15380
658, 15496, 15412
659, 15520, 15440
660, 15552, 15468
661, 15580, 15500
663, 15636, 15528
664, 15676, 15588
665, 15700, 15616
666, 15732, 15644
667, 15760, 15676
668, 15792, 15704
669, 15828, 15740
671, 15876, 15764
672, 15916, 15796
673, 15936, 15852
674, 15972, 15880
675, 16000, 15916
676, 14224, 14140
678, 14280, 14172
679, 14312, 14228
680, 14336, 14256
681, 14372, 14288
682, 14280, 14204
684, 14336, 14256
685, 14368, 14284
686, 14400, 14320
687, 14432, 14344
688, 14456, 14376
690, 14516, 14408
691, 14552, 14440
692, 14580, 14476
693, 14612, 14528
694, 14636, 14560
695, 14668, 14584
697, 14732, 14620
698, 14756, 14680
699, 14788, 14712
700, 14816, 14712
701, 14844, 14748
702, 14872, 14796
703, 14908, 14828
704, 14936, 14864
705, 14968, 14884
707, 15020, 14944
708, 15056, 14984
709, 15080, 14984
710, 15112, 15040
711, 15140, 15040
712, 15168, 15096
713, 15196, 15120
714, 15232, 15160
715, 15260, 15188
716, 15284, 15216
718, 15344, 15244
719, 15376, 15304
720, 15404, 15304
721, 15436, 15364
722, 15464, 15364
723, 15492, 15400
724, 15524, 15452
725, 15556, 15488
726, 15580, 15512
727, 15612, 15540
729, 15672, 15572
730, 15700, 15600
731, 15736, 15632
732, 15760, 15692
733, 15792, 15716
735, 15848, 15752
736, 15880, 15776
737, 15908, 15836
738, 15936, 15864
739, 15968, 15896
740, 15992, 15920
742, 16060, 15956
743, 16088, 16012
745, 16144, 16040
746, 16176, 16100
747, 16204, 16136
748, 16236, 16156
749, 16260, 16192
750, 16296, 16216
751, 16316, 16248
752, 16360, 16276
753, 16380, 16308
754, 16412, 16336
755, 16436, 16364
757, 16500, 16392
758, 16528, 16424
759, 16560, 16484
760, 16588, 16508
761, 16620, 16544
762, 16644, 16564
763, 16680, 16604
764, 16708, 16628
765, 16736, 16656
766, 16768, 16688
767, 16796, 16716
768, 16824, 16748
769, 16856, 16776
770, 16884, 16808
771, 16916, 16836
773, 16968, 16864
774, 17000, 16888
775, 17032, 16952
776, 17060, 16980
778, 17120, 17036
779, 17148, 17068
780, 17180, 17100
781, 17212, 17128
782, 17240, 17160
784, 17296, 17184
785, 17324, 17216
786, 17356, 17272
787, 17388, 17276
788, 17420, 17328
789, 17444, 17364
790, 17476, 17388
791, 17504, 17388
792, 17536, 17456
793, 17560, 17476
794, 17592, 17512
795, 17620, 17536
797, 17660, 17572
798, 17712, 17628
799, 17744, 17656
800, 17768, 17684
801, 17796, 17712
803, 17860, 17748
804, 17884, 17804
805, 17916, 17828
806, 17944, 17860
807, 17972, 17888
808, 18004, 17920
809, 18036, 17948
810, 18064, 17976
811, 18088, 18004
812, 18120, 18032
813, 18148, 18064
814, 18184, 18096
816, 18220, 18124
817, 18268, 18184
818, 18296, 18208
819, 18332, 18244
820, 18360, 18272
821, 18392, 18300
822, 18416, 18328
823, 18448, 18356
824, 18476, 18388
826, 18536, 18416
827, 18564, 18448
828, 18600, 18480
829, 18620, 18536
830, 18660, 18564
831, 18684, 18600
832, 18712, 18620
833, 18740, 18656
834, 18772, 18680
835, 18800, 18712
836, 18832, 18740
837, 18864, 18768
838, 18892, 18800
839, 18928, 18824
841, 18984, 18860
842, 19012, 18924
843, 19040, 18944
844, 19068, 18976
845, 19100, 19004
847, 19160, 19032
848, 19188, 19064
849, 19220, 19096
850, 19244, 19124
851, 19272, 19152
852, 19300, 19180
853, 19332, 19236
855, 19392, 19292
856, 19420, 19328
857, 19448, 19332
858, 19480, 19392
859, 19512, 19416
860, 19536, 19444
861, 19568, 19472
862, 19596, 19500
863, 19628, 19532
864, 19656, 19560
865, 19688, 19592
866, 19716, 19620
867, 19740, 19644
868, 19772, 19676
870, 19832, 19708
871, 19860, 19764
872, 19888, 19792
873, 19920, 19796
874, 19944, 19848
875, 19980, 19884
876, 20008, 19884
877, 20040, 19912
878, 20064, 19964
879, 20096, 19968
880, 17024, 16920
882, 17080, 16956
883, 17108, 16980
884, 17148, 17016
885, 17176, 17084
886, 17204, 17084
887, 17236, 17108
888, 17264, 17168
889, 17300, 17208
890, 17324, 17228
891, 17356, 17264
892, 17384, 17288
893, 17412, 17316
895, 17464, 17348
896, 15700, 17404
897, 15724, 17408
898, 15756, 15632
899, 15780, 15672
900, 15812, 15728
901, 15840, 15756
902, 15760, 15792
904, 15816, 15700
905, 15848, 15732
906, 15880, 15768
907, 15904, 15796
908, 15936, 15816
909, 15968, 15856
910, 15996, 15908
911, 16032, 15932
912, 16060, 15964
913, 16092, 15996
914, 16116, 16024
915, 16148, 16052
916, 16176, 16080
917, 16212, 16116
918, 16236, 16140
919, 16264, 16172
920, 16296, 16200
921, 16320, 16228
922, 16352, 16260
923, 16384, 16284
924, 16412, 16320
925, 16440, 16340
927, 16500, 16372
928, 16532, 16432
929, 16560, 16432
930, 16588, 16488
931, 16620, 16520
932, 16644, 16544
934, 16708, 16576
935, 16736, 16608
936, 16764, 16664
937, 16792, 16692
938, 16820, 16720
939, 16852, 16752
940, 16880, 16780
941, 16912, 16812
942, 16940, 16840
943, 16968, 16868
944, 17000, 16900
946, 17056, 16932
947, 17088, 16984
948, 17116, 17016
949, 17148, 17044
950, 17176, 17076
951, 17208, 17104
952, 17236, 17128
953, 17264, 17160
955, 17300, 17184
956, 17352, 17220
957, 17380, 17248
958, 17408, 17304
959, 17436, 17304
960, 17464, 17360
961, 17496, 17392
962, 17528, 17424
963, 17556, 17448
964, 17584, 17480
965, 17612, 17504
966, 17640, 17540
967, 17676, 17564
969, 17728, 17600
970, 17760, 17624
971, 17788, 17656
972, 17820, 17712
973, 17848, 17744
974, 17876, 17768
975, 17900, 17796
976, 17936, 17828
977, 17960, 17852
978, 17992, 17888
980, 18052, 17912
981, 18076, 17972
982, 18108, 17980
983, 18144, 18036
984, 18176, 18072
985, 18200, 18092
986, 18232, 18124
987, 18260, 18152
988, 18296, 18184
990, 18352, 18212
991, 18380, 18268
992, 18404, 18292
993, 18436, 18324
995, 18500, 18352
997, 18548, 18440
998, 18580, 18472
999, 18604, 18496
1000, 18640, 18528
1001, 18672, 18564
1002, 18708, 18592
1004, 18764, 18624
1005, 18792, 18684
1006, 18824, 18712
1007, 18856, 18740
1008, 18888, 18748
1009, 18920, 18808
1010, 18948, 18836
1011, 18984, 18872
1012, 19016, 18900
1014, 19068, 18928
1015, 19104, 18964
1016, 19136, 19020
1017, 19164, 19056
1018, 19196, 19056
1019, 19228, 19088
1020, 19256, 19140
1021, 19284, 19172
1022, 19320, 19208
1024, 19360, 19236
1025, 19412, 19268
1026, 19444, 19328
1027, 19468, 19352
1028, 19504, 19388
1029, 19536, 19420
1030, 19568, 19424
1031, 19596, 19476
1032, 19628, 19508
1033, 19664, 19544
1034, 19688, 19572
1036, 19752, 19604
1037, 19784, 19664
1038, 19808, 19696
1039, 19844, 19724
1040, 19876, 19760
1041, 19900, 19784
1042, 19936, 19820
1044, 20000, 19884
1045, 20028, 19908
1046, 20060, 19940
1047, 20092, 19948
1048, 20120, 20000
1049, 20152, 20032
1050, 20188, 20068
1051, 20216, 20100
1052, 20244, 20128
1053, 20276, 20156
1054, 20308, 20192
1055, 20340, 20220
1057, 20404, 20252
1058, 20436, 20284
1059, 20460, 20316
1060, 20492, 20372
1061, 20528, 20408
1062, 20560, 20440
1063, 20588, 20468
1064, 20620, 20500
1065, 20660, 20528
1067, 20712, 20560
1068, 20744, 20596
1069, 20776, 20656
1070, 20804, 20684
1071, 20836, 20712
1072, 20872, 20748
1073, 20900, 20776
1074, 20932, 20812
1075, 20964, 20840
1076, 21000, 20868
1078, 21060, 20932
1079, 21088, 20968
1080, 21116, 20972
1081, 21148, 21024
1082, 21176, 21056
1083, 21212, 21092
1084, 21240, 21116
1085, 21272, 21148
1086, 21304, 21180
1087, 21336, 21208
1089, 21400, 21240
1090, 21432, 21304
1091, 21460, 21336
1092, 21492, 21364
1093, 21524, 21400
1094, 21556, 21428
1095, 21588, 21464
1096, 21620, 21492
1097, 21652, 21528
1098, 21680, 21548
1100, 21740, 21588
1101, 21768, 21620
1102, 21800, 21676
1103, 21832, 21680
1104, 21864, 21740
1105, 21896, 21776
1106, 21928, 21804
1107, 21960, 21836
1108, 21988, 21860
1110, 24284, 21892
1111, 20304, 24200
1112, 20332, 20212
1113, 20368, 20240
1114, 20400, 20276
1115, 20424, 20300
1116, 20356, 20332
1117, 20392, 20268
1119, 20452, 20300
1120, 20484, 20328
1121, 20512, 20392
1122, 20548, 20428
1123, 20576, 20452
1124, 20608, 20492
1125, 20640, 20520
1126, 20668, 20552
1127, 20700, 20580
1128, 20736, 20620
1129, 20768, 20648
1130, 20800, 20676
1131, 20828, 20680
1132, 20860, 20744
1133, 20892, 20772
1134, 20924, 20804
1135, 20952, 20832
1136, 20984, 20868
1137, 21012, 20892
1138, 21048, 20932
1139, 21080, 20960
