height, node1-size, node2-size
325, 7740, 8028
326, 7780, 8064
327, 7804, 8064
328, 7840, 8128
329, 7860, 8156
330, 7896, 8188
331, 7920, 8220
332, 7956, 8252
333, 7980, 8284
334, 8012, 8316
335, 8036, 8348
336, 8068, 8348
337, 8096, 8380
338, 8132, 8444
339, 8156, 8480
340, 8184, 8480
341, 8216, 8512
342, 8240, 8568
343, 8276, 8608
344, 8304, 8608
345, 8336, 8640
346, 8360, 8704
347, 8392, 8732
348, 8420, 8768
349, 8456, 8772
350, 8480, 8832
351, 8516, 8832
352, 8540, 8900
353, 8572, 8924
354, 8600, 8960
355, 8632, 8992
356, 8656, 8992
357, 8688, 9028
358, 8716, 9088
359, 8744, 9092
360, 8776, 9116
361, 8808, 9188
362, 8840, 9224
363, 8860, 9224
364, 8896, 9284
365, 8920, 9284
366, 8956, 9352
367, 8980, 9352
368, 9016, 9384
369, 9040, 9448
370, 9072, 9480
371, 9100, 9516
372, 9136, 9516
373, 9156, 9548
374, 9188, 9612
375, 9216, 9644
376, 9248, 9644
377, 9280, 9708
378, 9308, 9744
379, 9336, 9744
380, 9364, 9804
381, 9396, 9808
382, 9428, 9840
383, 9460, 9908
384, 9480, 9908
385, 9516, 9972
386, 9540, 9976
387, 9572, 10032
388, 9600, 10036
389, 9636, 10072
390, 9660, 10132
391, 9692, 10164
392, 9720, 10200
393, 9752, 10200
394, 9780, 10240
395, 9808, 10300
396, 9840, 10332
397, 9864, 10336
398, 9896, 10392
399, 9928, 10436
400, 9960, 10464
401, 9984, 10468
402, 10016, 10496
403, 10044, 10528
404, 10076, 10596
405, 10104, 10628
406, 10132, 10636
407, 10160, 10692
408, 10188, 10724
409, 10216, 10756
410, 10252, 10760
411, 10276, 10792
412, 10308, 10856
413, 10336, 10892
414, 10360, 10916
415, 10392, 10920
416, 10424, 10952
417, 10456, 11024
418, 10480, 11048
419, 10512, 11056
420, 10540, 9172
421, 10572, 9176
422, 10600, 9208
423, 10632, 9244
424, 10660, 9312
425, 10688, 12336
426, 10716, 8932
427, 10748, 8932
428, 10772, 8972
429, 10804, 8996
430, 10832, 9064
431, 10864, 9064
432, 10892, 9100
433, 10920, 9168
434, 10952, 9196
435, 10976, 9224
436, 11008, 9260
437, 11036, 9260
438, 11068, 9324
439, 11096, 9356
440, 11128, 9392
441, 11156, 9392
442, 11184, 9452
443, 11216, 9488
444, 11248, 9488
445, 11268, 9548
446, 11300, 9584
447, 11332, 9616
448, 11360, 9648
449, 11388, 9648
450, 11420, 9716
451, 11448, 9752
452, 11472, 9780
453, 11504, 9780
454, 11532, 9848
455, 11568, 9884
456, 11960, 9884
457, 9804, 9912
458, 9836, 9980
459, 9868, 10004
460, 9900, 10044
461, 9932, 10044
462, 9676, 10108
463, 9708, 10140
464, 9736, 10140
465, 9768, 10208
466, 9796, 10240
467, 9828, 10272
468, 9856, 10304
469, 9884, 10336
470, 9912, 10336
471, 9944, 10368
472, 9976, 10440
473, 10000, 10472
474, 10028, 10472
475, 10060, 10536
476, 10084, 10568
477, 10116, 10604
478, 10148, 10604
479, 10176, 10672
480, 10204, 10700
481, 10232, 10736
482, 10268, 10768
483, 10292, 10800
484, 10324, 10800
485, 10352, 10868
486, 10380, 10896
487, 10408, 10932
488, 10444, 10964
489, 10472, 11000
490, 10496, 11028
491, 10528, 11064
492, 10552, 11092
493, 10584, 11124
494, 10612, 11160
495, 10644, 11196
496, 10672, 11196
497, 10700, 11260
498, 10728, 11292
499, 10764, 11332
500, 10788, 11332
501, 10820, 12800
502, 10848, 12800
503, 10880, 12832
504, 10904, 12884
505, 10940, 9880
506, 10968, 9880
507, 10996, 9912
508, 11024, 9968
509, 11056, 9996
510, 11088, 9996
511, 11112, 10032
512, 11144, 10088
513, 11172, 10116
514, 11200, 10144
515, 11224, 10148
516, 11260, 10208
517, 11284, 10228
518, 11304, 10228
519, 11344, 10288
520, 11376, 10320
521, 11404, 10348
522, 11436, 10348
523, 11464, 10408
524, 11492, 10408
525, 11520, 10440
526, 11552, 10496
527, 11584, 10500
528, 11612, 10528
529, 11640, 10584
530, 11668, 10616
531, 11696, 10640
532, 11720, 10672
533, 11756, 10704
534, 11784, 10736
535, 11816, 10760
536, 11840, 10760
537, 11872, 10824
538, 11900, 10852
539, 11932, 10884
540, 11960, 10884
541, 11988, 10940
542, 12016, 10968
543, 12048, 10996
544, 12080, 11036
545, 12108, 11056
546, 12136, 11092
547, 12168, 11116
548, 12192, 11116
549, 12224, 11176
550, 12256, 11208
551, 12284, 11240
552, 12312, 11244
553, 12340, 11296
554, 12372, 11324
555, 12400, 11324
556, 12432, 11356
557, 12460, 11412
558, 12488, 11444
559, 12512, 11468
560, 12548, 11468
561, 12576, 11532
562, 12604, 11556
563, 12632, 11592
564, 12664, 11612
565, 12696, 11648
566, 12724, 11680
567, 12756, 11708
568, 12784, 11740
